Introversion Software,United Kingdom
Minato Station,Japan
Devolver Digital,USA
Blue Byte,Germany
Gaga,Japan
Yamasa Entertainment,Japan
Plenty,Japan
Views,Japan
fonfun,Taiwan
NetRevo,Japan
Codemasters Online,United Kingdom
Quintet,Japan
Phoenix Games,United Kingdom
Dorart,Japan
Marvelous Games,Japan
Focus Multimedia,United Kingdom
Imageworks,Japan
Karin Entertainment,Japan
Aerosoft,Germany
Technos Japan Corporation,Japan
Gakken,Japan
Mirai Shounen,Japan
Datam Polystar,Japan
Saurus,Japan
HuneX,Japan
Revolution (Japan),Japan
Giza10,Japan
Visco,Japan
Alvion,Japan
Mycom,Japan
Giga,Japan
Warashi,Japan
System Soft,Japan
Sold Out,United Kingdom
Lighthouse Interactive,Canada
Masque Publishing,USA
RED Entertainment,Japan
Michaelsoft,USA
Media Entertainment,Japan
New World Computing,USA
Genterprise,Japan
Interworks Unlimited, Inc.,USA
Boost On,Japan
Stainless Games,United Kingdom
EON Digital Entertainment,USA
Epic Games,USA
Naxat Soft,Japan
Ascaron Entertainment,Germany
Piacci,Japan
Nitroplus,Japan
Paradox Development,Sweden
Otomate,Japan
Ongakukan,Japan
Commseed,Japan
Inti Creates,Japan
Takuyo,Japan
Interchannel-Holon,Japan
Rain Games,Norway
UIG Entertainment,Germany
